"혈","부위","판정","판정 근거","기대 층 (해부학)","문제","근거 문헌","제안 조치","방향 편차(°)","현재 경로 (첫 뼈·장기까지, mm)","평균 법선 경로 (편차 15° 이상만)","10 mm 이상 빈 구간","5 mm 이내 근접인데 표시 안 되는 위험구조","교차하는 위험구조","원문 자침법","검수 판정","검수 의견"
"PC5","아래팔","보통","수동","PC4와 같음","정중신경 2.3 mm 근접 미표시","해부","근접 표시","7","flexor carpi radialis 0.5 → flexor digitorum superficialis 3.2 → flexor digitorum profundus 8.7 → Interosseous membrane forearm 22.4 → extensor pollicis brevis 25.8 → Anterior interosseous nerve of forearm 27 → abductor pollicis longus 37.5 → extensor digitorum 39.9","","","Median nerve 2.3mm옆@14.4; anterior interosseous artery 2.1mm옆@20.3; Posterior interosseous nerve of forearm 2.1mm옆@31.7","Anterior interosseous nerve of forearm@27","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"PC6","아래팔","보통","수동","얕은손가락굽힘근 → 정중신경 → 깊은손가락굽힘근 → 네모엎침근","정중신경 3.2 mm 근접 미표시","Streitberger(리뷰 인용): 침끝–정중신경 1.8±2.2 mm","근접 표시","20","flexor digitorum superficialis 3.4 → flexor digitorum superficialis 3.6 → flexor digitorum profundus 7.8 → pronator quadratus 11.3 → extensor pollicis brevis 29 → extensor digitorum 37.5","flexor digitorum superficialis 2.6 → flexor digitorum superficialis 4.1 → flexor digitorum profundus 7.2 → pronator quadratus 10.4 → Interosseous membrane forearm 18.6 → extensor indicis 21.4 → extensor digiti minimi 32.7","19→29mm(extensor pollicis brevis 앞)","median antebrachial vein 4.4mm옆@2.4; Median nerve 3.2mm옆@10.7; anterior interosseous artery 4.9mm옆@19.7; Anterior interosseous nerve of forearm 3.9mm옆@23.6; Posterior interosseous nerve of forearm 4.3mm옆@26.4","","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"TE5","아래팔","보통","자동(근접 미표시)","","","","","5","extensor digitorum 11.3 → extensor pollicis longus 15.3 → Interosseous membrane forearm 25.9 → pronator quadratus 31.3 → flexor digitorum profundus 38 → flexor digitorum superficialis 40.1 → flexor digitorum superficialis 43.2 → flexor carpi radialis 45.7","","0→11mm(extensor digitorum 앞)","Posterior interosseous nerve of forearm 1.4mm옆@22; Anterior interosseous nerve of forearm 2.7mm옆@24.6; Median nerve 3.1mm옆@36.9; median antebrachial vein 2.5mm옆@46.6","","直刺 0.5～1寸 (혹은 內關(PC6)을 향해 透刺하기도 한다) (모델 상한 22.4 mm)","",""
"TE6","아래팔","보통","자동(근접 미표시)","","","","","8","extensor pollicis longus 17.9 → extensor pollicis brevis 27.3 → Interosseous membrane forearm 29.2 → pronator quadratus 30.9 → flexor digitorum profundus 35.3 → flexor digitorum superficialis 44.8 → flexor digitorum superficialis 46.1 → flexor carpi radialis 50.2","","0→18mm(extensor pollicis longus 앞)","Anterior interosseous nerve of forearm 3.9mm옆@27.1; anterior interosseous artery 1mm옆@33; Median nerve 2.9mm옆@40.5; median antebrachial vein 1.4mm옆@53.3","","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"TE8","아래팔","보통","자동(근접 미표시)","","","","","3","extensor digitorum 11.3 → abductor pollicis longus 16.7 → extensor pollicis brevis 27.7 → Interosseous membrane forearm 29.8 → flexor digitorum profundus 34.4 → flexor digitorum superficialis 45.9 → flexor carpi radialis 55.4","","0→11mm(extensor digitorum 앞)","Posterior interosseous nerve of forearm 3.3mm옆@25.6; Anterior interosseous nerve of forearm 2.9mm옆@29.1; anterior interosseous artery 4.4mm옆@38; median antebrachial vein 4.5mm옆@61.9","","直刺 0.5～1寸 (모델 상한 22.4 mm)","",""
"LI14","어깨·견갑","보통","수동","피하 → 어깨세모근 정지부","피부→삼각근 23 mm","Störchle 2018 초음파 https://doi.org/10.1038/s41598-018-34213-0: 일반인 피하지방 3~10 mm","피하 두께 정합 확인","2","Spinal part deltoid 23.1 → humerus 33.7","","0→23mm(Spinal part deltoid 앞)","","","直刺 0.3～0.7寸 (모델 상한 14 mm)","",""
"TE14","어깨·견갑","보통","수동","어깨세모근 → 가시아래근/작은원근 힘줄 → 관절주머니","방향 30°로 사각공간 쪽, 겨드랑신경 0.3 mm @77","해부","방향 보정","16","Spinal part deltoid 8.7 → teres minor 33 → Long head triceps brachii 57.9","Spinal part deltoid 8.9 → teres minor 35.6 → Long head triceps brachii 61.9 → teres major 72.6","","circumflex scapular vein 0.9mm옆@67.1","","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"BL29","엉치·볼기","보통","자동(근접 미표시)","","","","","1","gluteus maximus 27.1 → piriformis 58.9","","0→27mm(gluteus maximus 앞)","inferior gluteal vein 3.5mm옆@64.9","","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"GV1","엉치·볼기","보통","자동(공백)","","","","","10","gluteus maximus 16.7 → Sacrum 17.7","","0→17mm(gluteus maximus 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV2","엉치·볼기","보통","자동(공백)","","","","","11","Sacrum 19.1","","0→19mm(Sacrum 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"LI12","위팔·팔꿈치","보통","자동(근접 미표시)","","","","","8","brachioradialis 16.8 → brachialis 32.5","","0→17mm(brachioradialis 앞)","inferior ulnar collateral artery 3.3mm옆@64.5; brachial artery 2.8mm옆@67.6","","直刺 0.3～0.7寸 (모델 상한 14 mm)","",""
"LU4","위팔·팔꿈치","보통","자동(근접 미표시)","","","","","1","Long head biceps brachii 15.2 → brachialis 28.8 → humerus 32.7","","0→15mm(Long head biceps brachii 앞)","cephalic vein 1.7mm옆@18.9","","直刺 0.3～0.5寸 (모델 상한 10 mm)","",""
"TE10","위팔·팔꿈치","보통","수동","세갈래근 힘줄 → 팔꿈치오목 지방 → 뼈","피부→세갈래근 19.7 mm","Störchle 2018 초음파 https://doi.org/10.1038/s41598-018-34213-0","피하 두께 정합","2","Long head triceps brachii 19.7 → Lateral head triceps brachii 25.2 → Medial head triceps brachii 31.1 → humerus 40.7","","0→20mm(Long head triceps brachii 앞)","","","直刺 0.3～0.5寸 (모델 상한 10 mm)","",""
"TE11","위팔·팔꿈치","보통","자동(공백)","","","","","4","Long head triceps brachii 19.2 → Medial head triceps brachii 36.4 → humerus 42.2","","0→19mm(Long head triceps brachii 앞)","","","直刺 0.3～0.5寸 (모델 상한 10 mm)","",""
"TE12","위팔·팔꿈치","보통","자동(근접 미표시)","","","","","12","Long head triceps brachii 16.7 → Lateral head triceps brachii 38.8 → Medial head triceps brachii 45.9 → humerus 48.9","","0→17mm(Long head triceps brachii 앞)","deep brachial artery 1.9mm옆@46.6","","直刺 0.3～0.7寸 (모델 상한 14 mm)","",""
"BL55","종아리","보통","자동(근접 미표시)","","","","","9","Lateral head gastrocnemius 20.4 → soleus 50.9 → fibula 67.4","","0→20mm(Lateral head gastrocnemius 앞)","Sural nerve 3.9mm옆@22.2","","0.5～1寸 直刺 (모델 상한 23.8 mm)","",""
"BL56","종아리","보통","자동(근접 미표시)","","","","","4","Lateral head gastrocnemius 14.8 → soleus 42.5 → tibialis posterior 75 → tibia 85.8","","0→15mm(Lateral head gastrocnemius 앞); 64→75mm(tibialis posterior 앞)","small saphenous vein 2.5mm옆@19.8; posterior tibial artery 2.6mm옆@66.9; fibular vein 4.4mm옆@71.3","","0.3～1寸 直刺 (모델 상한 23.8 mm)","",""
"BL58","종아리","보통","자동(근접 미표시)","","","","","8","calcaneal tendon 9.1 → Lateral head gastrocnemius 9.2 → soleus 14.2 → flexor digitorum longus 57.9 → soleus 69.7","","39→58mm(flexor digitorum longus 앞)","fibular artery 3.9mm옆@22.5; fibular vein 2.1mm옆@32.7; posterior tibial artery 3.7mm옆@56.5","","0.5～1.2寸 直刺 (모델 상한 28.6 mm)","",""
"GB35","종아리","보통","자동(근접 미표시)","","","","","2","fibularis longus 8.8 → fibula 16.9","","","Superficial fibular nerve 4.3mm옆@14.7","","0.3～0.8寸 直刺 (모델 상한 19 mm)","",""
"GB36","종아리","보통","자동(근접 미표시)","","","","","10","extensor digitorum longus 14.2 → fibula 16.8","","0→14mm(extensor digitorum longus 앞)","Superficial fibular nerve 2.8mm옆@15.9","","0.3～0.8寸  直刺 (모델 상한 19 mm)","",""
"GB38","종아리","보통","자동(근접 미표시)","","","","","4","extensor digitorum longus 5.4 → fibula 10.2","","","Superficial fibular nerve 0.5mm옆@9.2","","0.3～0.7寸 直刺 (모델 상한 16.7 mm)","",""
"KI8","종아리","보통","자동(근접 미표시)","","","","","8","flexor digitorum longus 6.2 → flexor hallucis longus 22.5 → fibula 48","","","Tibial nerve 1.1mm옆@22.2","","0.3～0.5寸 直刺 (모델 상한 11.9 mm)","",""
"KI9","종아리","보통","자동(근접 미표시)","","","","","2","soleus 3.1 → flexor hallucis longus 37.9 → Interosseous membrane leg 54.3 → fibula 58.5","","22→38mm(flexor hallucis longus 앞)","posterior tibial vein 2mm옆@3.8; posterior tibial artery 0.6mm옆@20.5","","0.3～0.8寸 直刺 (모델 상한 19 mm)","",""
"LR5","종아리","보통","자동(근접 미표시)","","","","","9","tibia 8.3","","","Saphenous nerve 3.1mm옆@8.4","","0.3～0.5寸 直刺를 하거나 (모델 상한 11.9 mm)","",""
"LR6","종아리","보통","자동(근접 미표시)","","","","","5","tibia 7.3","","","Saphenous nerve 0.6mm옆@9.6","","0.3～0.5寸 直刺 (모델 상한 11.9 mm)","",""
"SP7","종아리","보통","수동","가자미근/긴발가락굽힘근 → 뒤정강혈관","뒤정강동맥 3 mm 근접 미표시 (평균 법선 경로에선 교차)","해부","근접 표시","14","soleus 3.1 → flexor hallucis longus 47.1 → fibula 61.5","","24→47mm(flexor hallucis longus 앞)","posterior tibial artery 3mm옆@24.1; Tibial nerve 2.9mm옆@43.9","","0.5～1寸 直刺 (모델 상한 23.8 mm)","",""
"SP8","종아리","보통","자동(근접 미표시)","","","","","13","Medial head gastrocnemius 6 → soleus 29.7","","","posterior tibial artery 2.2mm옆@56.8","","0.5～1寸 直刺 (모델 상한 23.8 mm)","",""
"ST37","종아리","보통","자동(근접 미표시)","","","","","13","tibialis anterior 4.3 → anterior tibial vein 20.3 → Interosseous membrane leg 28.6 → tibialis posterior 31 → soleus 58.3","","","anterior tibial artery 3mm옆@17.9; posterior tibial artery 4.1mm옆@62.9","anterior tibial vein@20.3","0.5～1.5寸 直刺 (모델 상한 35.7 mm)","",""
"ST38","종아리","보통","자동(근접 미표시)","","","","","21","tibialis anterior 1.6 → anterior tibial vein 16.1 → Interosseous membrane leg 23 → tibialis posterior 25.1 → soleus 52.9","tibialis anterior 1.8 → Interosseous membrane leg 29 → tibialis posterior 33.2 → flexor hallucis longus 37.1 → fibula 39.4","42→53mm(soleus 앞)","anterior tibial artery 2.5mm옆@10.7","anterior tibial vein@16.1","0.5～1寸 直刺 (모델 상한 23.8 mm)","",""
"ST39","종아리","보통","자동(근접 미표시)","","","","","3","tibialis anterior 1.7 → anterior tibial vein 14.3 → Interosseous membrane leg 22.2 → tibialis posterior 25.7 → soleus 49.8 → Medial head gastrocnemius 75.7","","37→50mm(soleus 앞)","anterior tibial artery 4.1mm옆@8.9; Deep fibular nerve 3.3mm옆@22.1","anterior tibial vein@14.3","直刺 0.5～1寸 (모델 상한 23.8 mm)","",""
"ST17","가슴","경미","수동","—","원문 禁鍼으로 시뮬레이션이 잠긴 혈. 경로 검수 대상 아님","KCMRIC 원문","—","30","Sternocostal part pectoralis major 2.3 → internal intercostal muscle 28.4 → Pleura 37.8","Sternocostal part pectoralis major 2.5 → fifth rib 39.2","","Lateral pectoral nerve 3mm옆@3.6","Pleura@37.8","직자 없음","",""
"SI17","목·어깨윗부분","경미","수동","흉쇄유돌근 앞 → 두힘살근 뒤힘살 → 속목동맥","속목동맥 2.8 mm 옆 @26 mm → 문헌과 일치하나 교차가 아니라 화면에 안 나옴. 두힘살근 누락","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 24 mm (일치)","근접 표시만","직접 시드","sternocleidomastoid 10 → middle pharyngeal constrictor 43.8 → Tongue 52.4 → genioglossus 66.2 → submandibular gland 87.8 → Gingiva of lower jaw 89.4","","0→10mm(sternocleidomastoid 앞); 27→44mm(middle pharyngeal constrictor 앞)","internal carotid artery 2.8mm옆@26; stylopharyngeus 3.7mm옆@46.3","middle pharyngeal constrictor@43.8; Tongue@52.4; submandibular gland@87.8","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"TE15","목·어깨윗부분","경미","수동","등세모근 → 어깨올림근 → 견갑골 위각","층 타당. 등쪽어깨동맥 0.9 mm 근접 미표시","해부","근접 표시","17","Transverse part trapezius 12.2 → Ascending part trapezius 13 → levator scapulae 35.9 → scapula 36.6","Transverse part trapezius 12.4 → dorsal scapular artery 38.6 → scapula 38.7","0→12mm(Transverse part trapezius 앞); 22→36mm(levator scapulae 앞)","dorsal scapular artery 0.9mm옆@37.3","","直刺 0.3～0.5寸 (肩胛棘의 방향으로 偏向하여 刺入, 不宜深刺) (모델 상한 10.1 mm)","",""
"LI16","어깨·견갑","경미","수동","등세모근 → 가시위근 → 견갑골(어깨위혈관)","층 타당. 등세모근~가시위근 10 mm 공백","해부","—","31","Transverse part trapezius 4.2 → supraspinatus 18.1 → scapula 37.2","Transverse part trapezius 4.6 → supraspinatus 21.9 → scapula 51.3","8→18mm(supraspinatus 앞)","","","直刺 0.3～0.7寸 (모델 상한 14.2 mm)","",""
"SI13","어깨·견갑","경미","수동","등세모근 → 가시위근 → 견갑골","가시위근 두께 1 mm로 비현실적","해부","—","21","Ascending part trapezius 12.9 → supraspinatus 37.5 → scapula 37.8","Ascending part trapezius 13.1 → supraspinatus 35.5 → scapula 35.6","0→13mm(Ascending part trapezius 앞); 24→38mm(supraspinatus 앞)","dorsal scapular artery 2.8mm옆@39.5","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"LU1","가슴","양호","수동","큰가슴근 → 작은가슴근 → 늑간 3층 → 흉막","층 순서 정상, 흉막 55 mm","해부","—","3","Sternocostal part pectoralis major 10.6 → pectoralis minor 32.4 → external intercostal muscle 45.8 → internal intercostal muscle 46.8 → innermost intercostal muscle 47.4 → Posterior intercostal arteries 47.8 → Intercostal nerves 53.2 → Pleura 55.2","","0→11mm(Sternocostal part pectoralis major 앞)","Lateral pectoral nerve 1.1mm옆@12.9; Medial pectoral nerve 3.2mm옆@34.6; anterior intercostal veins 2.1mm옆@46.8","Posterior intercostal arteries@47.8; Intercostal nerves@53.2; Pleura@55.2","直刺 0.3～0.5寸 (모델 상한 8.5 mm)","",""
"SP18","가슴","양호","자동","","","","","5","Sternocostal part pectoralis major 6.7 → pectoralis minor 36.8 → external intercostal muscle 39.5 → internal intercostal muscle 42.6 → innermost intercostal muscle 44.4 → Pleura 49.4","","","","Pleura@49.4","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"SP10","넓적다리","양호","자동","","","","","15","vastus medialis 2.2 → femur 33","vastus medialis 2.4 → femur 35","","","","0.5～0.8寸 直刺 (모델 상한 17.8 mm)","",""
"ST33","넓적다리","양호","자동","","","","","10","rectus femoris 8.3 → vastus intermedius 14.1 → femur 40.4","","","","","直刺 0.5～0.7寸 (모델 상한 15.6 mm)","",""
"BL26","등·허리","양호","자동","","","","","3","latissimus dorsi 5.2 → iliocostalis lumborum 13.8 → quadratus lumborum 28.5 → Sacrum 46.2","","","","","直刺 0.5～1寸 (모델 상한 20.2 mm)","",""
"BL49","등·허리","양호","자동","","","","","4","latissimus dorsi 5.6 → serratus posterior inferior 12.7 → iliocostalis lumborum 16.3 → eleventh rib 27","","","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"CV12","배·샅","양호","수동","백색선 → 복막 → 위/간","위 27 mm","Chu 2022 초음파 https://doi.org/10.3390/healthcare10091707: 25.3±10.2 mm (일치)","복막 표시만","3","Linea alba 13.7 → Stomach 27","","0→14mm(Linea alba 앞); 16→27mm(Stomach 앞)","","Stomach@27","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST20","배·샅","양호","자동","","","","","2","external oblique 6.5 → internal oblique 7.6 → rectus abdominis 8.7 → internal oblique 22.8 → transversus abdominis 22.9 → Hepatovenous segment IV 26.3","","","","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"ST21","배·샅","양호","자동","","","","","4","external oblique 7.4 → internal oblique 8.7 → rectus abdominis 10 → internal oblique 24 → transversus abdominis 24.6 → Hepatovenous segment IV 28.5","","","","","直刺 0.5～1寸 (모델 상한 29.7 mm)","",""
"TE13","어깨·견갑","양호","자동","","","","","4","Spinal part deltoid 8.6 → Lateral head triceps brachii 43 → humerus 60.3","","","","","直刺 0.5～1寸 (모델 상한 20 mm)","",""
"BL53","엉치·볼기","양호","수동","큰볼기근 → 궁둥구멍근 → 궁둥신경","궁둥신경 69 mm 교차 — 해부 타당","해부","—","7","gluteus maximus 17.7 → piriformis 62.4 → Sciatic nerve 69.3","","0→18mm(gluteus maximus 앞); 38→62mm(piriformis 앞)","","Sciatic nerve@69.3","直刺 0.5～1.5寸 (모델 상한 30.3 mm)","",""
"LU3","위팔·팔꿈치","양호","자동","","","","","23","Long head biceps brachii 7.9 → brachialis 32.8 → Musculocutaneous nerve 33.8 → humerus 42.5","Long head biceps brachii 8.6 → brachialis 40.4 → Medial head triceps brachii 62.2","","","","直刺 0.3～0.5寸 (모델 상한 10 mm)","",""
"PC2","위팔·팔꿈치","양호","자동","","","","","21","Long head biceps brachii 7.1 → brachialis 30.4 → humerus 33.7","Long head biceps brachii 8.2 → cephalic vein 35 → Acromial part deltoid 40.2 → Spinal part deltoid 48.7","","","","直刺 0.3～0.5寸 (모델 상한 10 mm)","",""
"GB37","종아리","양호","자동","","","","","7","extensor digitorum longus 6.4 → Superficial fibular nerve 10.5 → fibula 13.5","","","","Superficial fibular nerve@10.5","0.5～0.9寸 直刺 (모델 상한 21.4 mm)","",""
"GB39","종아리","양호","자동","","","","","2","fibula 4.7","","","","","直刺 0.3～0.5寸 (모델 상한 11.9 mm)","",""
